,ASTM, American W Shapes to ASTM A6/A36,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
0,,,Mass,Depth,Width,Thickness of,,Root,Depth,Ratios for,,Second Moment,,Radius,,Elastic,,Plastic,,Buckling,Torsional,Warping,Torsional,Area
1,,,per,of,of,Web,Flange,Radius,between,Local Buckling,,of Area,,of Gyration,,Modulus,,Modulus,,Parameter,Index,Constant,Constant,of
2,,Designation,metre,Section,Section,,,,fillets,Flange,Web,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,,,,,Section
3,,, ,h,b,s,t,r,d,b/2t,d/s,Ix,Iy,rx,ry,Zx,Zy,Sx,Sy,u,x,H,J,A
4,Home,in x in x lb/ft,kg/m,mm,mm,mm,mm,mm,mm, , ,cm4,cm4,cm,cm,cm3,cm3,cm3,cm3, , ,dm6,cm4,cm2
35,31,W33x153/4x424,631.8,923,414,35.1,63,20,757,3.29,21.6,1119700,74810,37.3,9.64,24260,3614,28140,5652,0.886,15.5,138,7983,805
36,32,W33x153/4x387,576.6,913,411,32,57.9,20,757.2,3.55,23.7,1011800,67230,37.1,9.57,22160,3271,25570,5101,0.887,16.7,123,6168,734
37,33,W33x153/4x354,528.2,903,409,29.5,53.1,20,756.8,3.85,25.7,915100,60730,36.9,9.5,20270,2970,23280,4621,0.887,18.1,110,4777,673
38,34,W33x153/4x318,473.8,893,406,26.4,48,20,757,4.23,28.7,813200,53670,36.7,9.43,18210,2644,20800,4101,0.888,19.8,95.8,3511,604
39,35,W33x153/4x291,433.8,885,404,24.4,43.9,20,757.2,4.6,31,736300,48350,36.5,9.35,16640,2394,18930,3707,0.887,21.5,85.5,2705,553
40,36,W33x153/4x263,392.2,877,401,22.1,39.9,20,757.2,5.03,34.3,659700,42960,36.3,9.27,15040,2143,17040,3311,0.888,23.5,75.3,2027,500
41,37,W33x153/4x241,359.8,868.2,402.8,21.1,35.6,20,757,5.66,35.9,591700,38850,35.9,9.21,13630,1929,15430,2982,0.884,26,67.3,1510,458
42,38,W33x153/4x221,330.1,861.8,401.4,19.7,32.4,20,757,6.19,38.4,536000,34980,35.7,9.12,12440,1743,14050,2692,0.883,28.3,60.2,1160,421
43,39,W33x153/4x201,299.9,855.5,399.9,18.2,29.2,20,757.1,6.85,41.6,480900,31170,35.5,9.03,11240,1559,12680,2405,0.881,31.1,53.2,866,382
44,40,W33x111/2x361,537.5,925.1,310.6,35.6,64,20,757.1,2.43,21.3,893900,32280,36.1,6.87,19330,2079,22910,3347,0.873,15.8,59.8,6547,685
