,UB,Universal Beams to BS4 Part1 1993 - Dimensions & Properties,wt,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
0,,,Mass,Depth,Width,Thickness of,,Root,Depth,Ratios for,,Second Moment,,Radius,,Elastic,,Plastic,,Buckling,Torsional,Warping,Torsional,Area
1,,,per,of,of,Web,Flange,Radius,between,Local Buckling,,of Area,,of Gyration,,Modulus,,Modulus,,Parameter,Index,Constant,Constant,of
2,,Designation,metre,Section,Section,,,,fillets,Flange,Web,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,,,,,Section
3,,, ,h,b,s,t,r,d,b/2t,d/s,Ix,Iy,rx,ry,Zx,Zy,Sx,Sy,u,x,H,J,A
4,Home,section,kg/m,mm,mm,mm,mm,mm,mm, , ,cm4,cm4,cm,cm,cm3,cm3,cm3,cm3, , ,dm6,cm4,cm2
21,17,686x254x125,125.2,677.9,253,11.7,16.2,15.2,615.1,7.81,52.6,118000,4383,27.2,5.24,3481,346,3994,542,0.862,43.9,4.8,116,159
22,18,610x305x238,238.1,635.8,311.4,18.4,31.4,16.5,540,4.96,29.3,209500,15840,26.3,7.23,6589,1017,7486,1574,0.886,21.3,14.5,785,303
23,19,610x305x179,179,620.2,307.1,14.1,23.6,16.5,540,6.51,38.3,153000,11410,25.9,7.07,4935,743,5547,1144,0.886,27.7,10.2,340,228
24,20,610x305x149,149.2,612.4,304.8,11.8,19.7,16.5,540,7.74,45.8,125900,9308,25.7,7,4111,611,4594,937,0.886,32.7,8.17,200,190
25,21,610x229x140,139.9,617.2,230.2,13.1,22.1,12.7,547.6,5.21,41.8,111800,4505,25,5.03,3622,391,4142,611,0.875,30.6,3.99,216,178
26,22,610x229x125,125.1,612.2,229,11.9,19.6,12.7,547.6,5.84,46,98610,3932,24.9,4.97,3221,343,3676,535,0.873,34.1,3.45,154,159
27,23,610x229x113,113,607.6,228.2,11.1,17.3,12.7,547.6,6.6,49.3,87320,3434,24.6,4.88,2874,301,3281,469,0.87,38,2.99,111,144
28,24,610x229x101,101.2,602.6,227.6,10.5,14.8,12.7,547.6,7.69,52.2,75780,2915,24.2,4.75,2515,256,2881,400,0.864,43.1,2.52,77,129
29,25,533x210x122,122,544.5,211.9,12.7,21.3,12.7,476.5,4.97,37.5,76040,3388,22.1,4.67,2793,320,3196,500,0.877,27.6,2.32,178,155
30,26,533x210x109,109,539.5,210.8,11.6,18.8,12.7,476.5,5.61,41.1,66820,2943,21.9,4.6,2477,279,2828,436,0.875,30.9,1.99,126,139
31,27,533x210x101,101,536.7,210,10.8,17.4,12.7,476.5,6.03,44.1,61520,2692,21.9,4.57,2292,256,2612,399,0.874,33.2,1.81,101,129
32,28,533x210x92,92.14,533.1,209.3,10.1,15.6,12.7,476.5,6.71,47.2,55230,2389,21.7,4.51,2072,228,2360,356,0.872,36.5,1.6,75.7,117
33,29,533x210x82,82.2,528.3,208.8,9.6,13.2,12.7,476.5,7.91,49.6,47540,2007,21.3,4.38,1800,192,2059,300,0.864,41.6,1.33,51.5,105
34,30,457x191x98,98.3,467.2,192.8,11.4,19.6,10.2,407.6,4.92,35.8,45730,2347,19.1,4.33,1957,243,2232,379,0.881,25.7,1.18,121,125
