,HE,European Wide Flange Beams in Accordance with Euronorm 53-62,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
0,,,Mass,Depth,Width,Thickness of,,Root,Depth,Ratios for,,Second Moment,,Radius,,Elastic,,Plastic,,Buckling,Torsional,Warping,Torsional,Area
1,,,per,of,of,Web,Flange,Radius,between,Local Buckling,,of Area,,of Gyration,,Modulus,,Modulus,,Parameter,Index,Constant,Constant,of
2,,Designation,metre,Section,Section,,,,fillets,Flange,Web,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,,,,,Section
3,,, ,h,b,s,t,r,d,b/2t,d/s,Ix,Iy,rx,ry,Zx,Zy,Sx,Sy,u,x,H,J,A
4,Home,,kg/m,mm,mm,mm,mm,mm,mm, , ,cm4,cm4,cm,cm,cm3,cm3,cm3,cm3, , ,dm6,cm4,cm2
12,8,HE 140 A,24.7,133,140,5.5,8.5,12,92,8.24,16.7,1033,389,5.73,3.52,155,55.6,173,84.8,0.837,13.9,0.015,8.1,31.4
13,9,HE 140 B,33.7,140,140,7,12,12,92,5.83,13.1,1509,550,5.93,3.58,216,78.5,245,120,0.844,10.6,0.023,20.2,43
14,10,HE 160 AA,23.8,148,160,4.5,7,15,104,11.4,23.1,1283,479,6.5,3.97,173,59.8,190,91.4,0.839,17.3,0.024,6.43,30.4
15,11,HE 160 A,30.4,152,160,6,9,15,104,8.89,17.3,1673,616,6.57,3.98,220,76.9,245,118,0.838,14.5,0.031,12.1,38.8
16,12,HE 160 B,42.6,160,160,8,13,15,104,6.15,13,2492,889,6.78,4.05,312,111,354,170,0.844,11,0.048,31.3,54.3
17,13,HE 160 M,76.2,180,166,14,23,15,104,3.61,7.43,5098,1759,7.25,4.26,566,212,675,325,0.847,6.91,0.108,161,97.1
18,14,HE 180 AA,28.7,167,180,5,7.5,15,122,12,24.4,1967,730,7.34,4.47,236,81.1,258,124,0.838,18.9,0.046,8.31,36.5
19,15,HE 180 A,35.5,171,180,6,9.5,15,122,9.47,20.3,2510,925,7.45,4.52,294,103,325,156,0.841,15.9,0.06,14.9,45.3
20,16,HE 180 B,51.2,180,180,8.5,14,15,122,6.43,14.4,3831,1363,7.66,4.57,426,151,481,231,0.845,11.7,0.094,42.2,65.3
21,17,HE 180 M,88.9,200,186,14.5,24,15,122,3.88,8.41,7483,2580,8.13,4.77,748,277,883,425,0.847,7.47,0.2,201,113
22,18,HE 200 AA,34.6,186,200,5.5,8,18,134,12.5,24.4,2944,1068,8.17,4.92,317,107,347,163,0.84,18.9,0.085,12.5,44.1
23,19,HE 200 A,42.3,190,200,6.5,10,18,134,10,20.6,3692,1336,8.28,4.98,389,134,429,204,0.842,16.3,0.108,21,53.8
24,20,HE 200 B,61.3,200,200,9,15,18,134,6.67,14.9,5696,2003,8.54,5.07,570,200,643,306,0.846,12,0.171,59.7,78.1
