id,sec,Mass,Depth,Width,Thickness of,,Root,Depth,Ratios for,,Second Moment,,Radius,,Elastic,,Plastic,,Buckling,Torsional,Warping,Torsional,Area,Shape
262,ISMC225,25.91284843,225,80,12.4,6.4,,,,,2694.6000977,187.19999695,144,198.4,239.5200087,32.8421045,239.5,32.7999992,,,,119.1803551,33.009998,channel
261,ISMB200,25.37905157,200,100,10.8,5.7,,,,,2235.3999023,150,114,180,223.5399902,30,223.5,30,,,,94.9936104,32.330002,I
260,ISNB200L,25.355499215,219.1,0,0,4.8,,,,,1856.5100098,1856.5100098,167.16097,167.16097,169.4669122,169.4669122,169.4700012,169.4700012,,,,37130.2002,32.299999,pipe
258,ISNB160H2,25.12,168.3,0,0,6.3,,,,,1053,1053,169.58288,169.58288,125.1336904,125.1336904,125,125,,,,21060,32,pipe
259,ISNB175M,25.12,193.7,0,0,5.4,,,,,1417,1417,167.1368,167.1368,146.3087185,146.3087185,146,146,,,,28340,32,pipe
257,ISA110X110X15,24.185849215,110,110,15,15,,,,,337.3999939,337.3999939,165,165,43.6481233,43.6481233,43.7000008,43.7000008,,,,230.625,30.809999,angle
256,ISLC225,23.966050785,225,90,10.2,5.8,,,,,2547.8999023,209.5,130.5,183.60001,226.4799913,32.0336393,226.5,32,,,,76.9791174,30.530001,channel
255,ISA150X115X12,23.848299215,150,115,12,12,,,,,676.5,345.2999878,180,138,55.9090913,50.3352742,65.3000031,40.2000008,,,,145.7279968,30.379999,angle
254,ISLB225,23.4872,225,100,8.6,5.8,,,,,2501.8999023,112.69999695,130.5,143.33333,222.3911024,22.5399994,222.3999939,22.5,,,,55.9184933,29.92,I
253,ISA130X130X12,23.4087,130,130,12,12,,,,,473.7999878,473.7999878,156,156,50.7280506,50.7280506,50.7000008,50.7000008,,,,142.8479958,29.82,angle
252,ISNT150,22.8278,150,150,10,10,,,,,603.7999878,267.5,150,125,54.6425331,35.6666667,54.5999985,35.7000008,,,,96.6666698,29.08,tee
250,ISA150X150X10,22.788550785,150,150,10,10,,,,,622.4000244,622.4000244,150,150,56.8921409,56.8921409,56.9000015,56.9000015,,,,96.6666698,29.030001,angle
251,ISA200X100X10,22.788550785,200,100,10,10,,,,,1210,269.20001221,200,100,67.2595886,38.6781625,92.8000031,26.2000008,,,,96.6666698,29.030001,angle
249,ISNB175L,22.3725,193.7,0,0,4.8,,,,,1271.7099609,1271.7099609,148.14998,148.14998,131.3071663,131.3071663,131.3099976,131.3099976,,,,25434.199219,28.5,pipe
248,ISMC200,22.144849215,200,75,11.4,6.1,,,,,1819.3000488,140.3999939,122,171,181.9300049,26.3414626,181.8999939,26.2999992,,,,87.4842072,28.209999,channel
247,ISWB175,22.066350785,175,125,7.4,5.8,,,,,1509.4000244,188.6000061,101.5,154.16667,172.5028599,30.176001,172.5,30.2000008,,,,44.1876459,28.110001,I
246,ISNB160H1,21.666,168.3,0,0,5.4,,,,,917.7000122,917.7000122,145.0845,145.0845,109.0552604,109.0552604,109,109,,,,18354.000244,27.6,pipe
245,ISNB150H,21.2735,165.1,0,0,5.4,,,,,864.7000122,864.7000122,142.59097,142.59097,104.7486372,104.7486372,105,105,,,,17294.000244,27.1,pipe
243,ISB132X132X5.4,20.87315,132,132,5.4,5.4,,,,,700.1099854,700.1099854,142.56,142.56,106.077272,106.077272,106.0800018,106.0800018,,,,11216.500244,26.59,box
244,ISB172X92X5.4,20.87315,172,92,5.4,5.4,,,,,1012.4699707,381.7399902,185.76,99.36,117.7290611,82.9869561,117.7300034,82.9899979,,,,9089.199829,26.59,box
242,ISLC200,20.582699215,200,75,10.8,5.5,,,,,1725.5,146.8999939,110,162.00001,172.55,28.5242701,172.6000061,28.5,,,,72.8793669,26.219999,channel
241,ISA150X75X12,20.111700785,150,75,12,12,,,,,587,99.5,180,90,44.102179,18.3918674,61.2000008,17.1000004,,,,122.6879978,25.620001,angle
240,ISA150X115X10,20.0332,150,115,10,10,,,,,573.2999878,293.3999939,150,115,47.0689643,42.2158276,54.9000015,33.7999992,,,,85,25.52,angle
239,ISHT100,19.993949215,100,200,9,7.8,,,,,193.80000305,497.2999878,78,150,23.9555009,49.7299988,24,49.2999992,,,,62.9947424,25.469999,tee
238,ISLB200,19.83695,200,100,7.3,5.4,,,,,1696.5999756,115.40000153,108,121.66667,169.6599976,23.0800003,169.6999969,23.1000004,,,,35.665741,25.27,I
237,ISA130X130X10,19.672099215,130,130,10,10,,,,,402.7000122,402.7000122,130,130,42.7494702,42.7494702,42.7000008,42.7000008,,,,83.3333302,25.059999,angle
236,ISA110X110X12,19.6407,110,110,12,12,,,,,279.6000061,279.6000061,132,132,35.6632665,35.6632665,35.7000008,35.7000008,,,,119.8079967,25.02,angle
235,ISNB135H,19.625,152.4,0,0,5.4,,,,,674.5,674.5,132.08661,132.08661,88.5170617,88.5170617,88.5,88.5,,,,13490,25,pipe
234,ISA125X95X12,19.6093,125,95,12,12,,,,,382.6000061,190.3999939,150,114,38.145564,34.3682302,44.7999992,27.1000004,,,,119.8079967,24.98,angle
233,ISNB160M,19.389500785,168.3,0,0,4.8,,,,,824.7800293,824.7800293,129.13565,129.13565,98.0130758,98.0130758,98.0100021,98.0100021,,,,16495.600586,24.700001,pipe
232,ISMB175,19.326700785,175,90,8.6,5.5,,,,,1272,85,96.25,129,145.3714286,18.8888889,145.3999939,18.8999996,,,,46.9146872,24.620001,I
231,ISMC175,19.138299215,175,75,10.2,5.7,,,,,1223.3000488,121,99.75,153,139.8057199,22.8301889,139.8000031,22.7999992,,,,62.6040125,24.379999,channel
230,ISNB150M,18.997000785,165.1,0,0,4.8,,,,,777.3200073,777.3200073,126.62859,126.62859,94.1635368,94.1635368,94.1600037,94.1600037,,,,15546.400146,24.200001,pipe
228,ISB132X132X4.8,18.70655,132,132,4.8,4.8,,,,,634.3900146,634.3900146,126.72,126.72,96.1197006,96.1197006,96.1200027,96.1200027,,,,10085.39978,23.83,box
229,ISB172X92X4.8,18.70655,172,92,4.8,4.8,,,,,917.1300049,346.9100037,165.11999,88.32,106.6430191,75.4152198,106.6399994,75.4100037,,,,8189.699707,23.83,box
227,ISNB160L,18.1335,168.3,0,0,4.5,,,,,777.2000122,777.2000122,120.44118,120.44118,92.3588848,92.3588848,92.4000015,92.4000015,,,,15544.000244,23.1,pipe
226,ISNB125H,17.897999215,139.7,0,0,5.4,,,,,514.5,514.5,121.05054,121.05054,73.6578368,73.6578368,73.6999969,73.6999969,,,,10290,22.799999,pipe
225,ISNB150L,17.819500785,165.1,0,0,4.5,,,,,732.5999756,732.5999756,118.44973,118.44973,88.7462102,88.7462102,88.6999969,88.6999969,,,,14651.999512,22.700001,pipe
223,ISB113.5X113.5X5.4,17.741,113.5,113.5,5.4,5.4,,,,,432.5799866,432.5799866,122.58,122.58,76.2255457,76.2255457,76.2300034,76.2300034,,,,7004.899902,22.6,box
224,ISB145X82X5.4,17.741,145,82,5.4,5.4,,,,,610.8499756,250.58999634,156.6,88.56,84.255169,61.1195127,84.2600021,61.1199989,,,,5865.900269,22.6,box
222,ISA100X100X12,17.73315,100,100,12,12,,,,,207,207,120,120,29.2372885,29.2372885,29.2000008,29.2000008,,,,108.288002,22.59,angle
221,ISLC175,17.584,175,75,9.5,5.1,,,,,1148.4000244,126.5,89.25,142.5,131.2457171,24.803922,131.3000031,24.7999992,,,,49.7666025,22.4,channel
220,ISNB135M,17.427000785,152.4,0,0,4.8,,,,,606.9199829,606.9199829,116.5937,116.5937,79.6482929,79.6482929,79.6500015,79.6500015,,,,12138.399658,22.200001,pipe
219,ISWB150,17.01095,150,100,7,5.4,,,,,839.0999756,94.80000305,81,116.66667,111.8799967,18.9600006,111.9000015,19,,,,30.0050354,21.67,I
218,ISA150X75X10,16.924599215,150,75,10,10,,,,,499.1000061,85.30000305,150,75,37.2740856,16.0338346,51.5999985,14.5,,,,71.6666651,21.559999,angle
217,ISLB175,16.720499215,175,90,6.9,5.1,,,,,1096.1999512,79.59999847,89.25,103.5,125.2799944,17.6888885,125.3000031,17.7000008,,,,26.8383193,21.299999,I
216,ISA110X110X10,16.532099215,110,110,10,10,,,,,238.3999939,238.3999939,110,110,30.101009,30.101009,30.1000004,30.1000004,,,,70,21.059999,angle
215,ISA125X95X10,16.5007,125,95,10,10,,,,,325.7999878,162.69999695,125,95,32.2255184,28.950178,37.7999992,22.8999996,,,,70,21.02,angle
214,ISNB135L,16.4065,152.4,0,0,4.5,,,,,572.2000122,572.2000122,109.43701,109.43701,75.0918662,75.0918662,75.0999985,75.0999985,,,,11444.000244,20.9,pipe
213,ISMC150,16.2338,150,75,9,5.4,,,,,779.4000244,102.30000305,81,135,103.9200033,19.3750007,103.9000015,19.3999996,,,,43.3784151,20.68,channel
212,ISNB110H,16.171,127,0,0,5.4,,,,,382,382,110.00725,110.00725,60.1574812,60.1574812,60.2000008,60.2000008,,,,7640,20.6,pipe
211,ISA150X115X8,16.1553,150,115,8,8,,,,,465.7000122,238.8999939,120,92,37.9543613,33.9346584,44.2000008,27.2000008,,,,43.8613319,20.58,angle
210,ISNB125M,15.935499215,139.7,0,0,4.8,,,,,463.4400024,463.4400024,107.07995,107.07995,66.3478874,66.3478874,66.3499985,66.3499985,,,,9268.800049,20.299999,pipe
208,ISB113.5X113.5X4.8,15.919800785,113.5,113.5,4.8,4.8,,,,,393.2999878,393.2999878,108.96,108.96,69.3039603,69.3039603,69.3000031,69.3000031,,,,6311.400146,20.280001,box
209,ISB145X82X4.8,15.919800785,145,82,4.8,4.8,,,,,555.1599731,228.5,139.2,78.72,76.5737894,55.7317086,76.5699997,55.7299995,,,,5295.999756,20.280001,box
207,ISA130X130X8,15.872699215,130,130,8,8,,,,,328.2999878,328.2999878,104,104,34.5578935,34.5578935,34.5,34.5,,,,43.0079985,20.219999,angle
206,ISA90X90X12,15.849150785,90,90,12,12,,,,,147.8999939,147.8999939,108,108,23.3280751,23.3280751,23.2999992,23.2999992,,,,96.7679977,20.190001,angle
205,ISST150,15.668599215,150,75,11.6,8,,,,,450.2000122,37,120,72.5,43.9219524,9.8666667,43.9000015,9.8999996,,,,62.6426649,19.959999,tee
204,ISA100X75X12,15.354599215,100,75,12,12,,,,,187.5,89.5,120,90,23.5257214,21.1583923,27.8999996,16.2999992,,,,93.8879967,19.559999,angle
203,ISHT75,15.29965,75,150,9,8.4,,,,,96.19999695,230.19999695,63,112.5,16.3605437,30.6933329,16.3999996,30.1000004,,,,49.4894886,19.49,tee
201,ISNB125L,14.9935,139.7,0,0,4.5,,,,,437.2000122,437.2000122,100.42197,100.42197,62.5912676,62.5912676,62.5999985,62.5999985,,,,8744.000244,19.1,pipe
202,ISNT100,14.9935,100,100,10,10,,,,,173.80000305,79.90000153,100,83.33333,24.1054094,15.9800003,24.1000004,16,,,,63.3333349,19.1,tee
200,ISA100X100X10,14.938550785,100,100,10,10,,,,,177,177,100,100,24.7206701,24.7206701,24.7000008,24.7000008,,,,63.3333349,19.030001,angle
199,ISA125X75X10,14.9307,125,75,10,10,,,,,300.29998779,81.59999847,125,75,27.9608927,19.2452837,36.2999992,14.1999998,,,,63.3333349,19.02,angle
198,ISMB150,14.915,150,80,7.6,4.8,,,,,726.4000244,52.59999847,72,101.33333,96.8533366,13.1499996,96.9000015,13.1000004,,,,28.3813214,19,I
197,ISNB100H,14.5225,114.3,0,0,5.4,,,,,274.5,274.5,99.49213,99.49213,48.0314948,48.0314948,48,48,,,,5490,18.5,pipe
196,ISNB110M,14.444,127,0,0,4.8,,,,,344.5799866,344.5799866,97.56347,97.56347,54.2645656,54.2645656,54.2700005,54.2700005,,,,6891.599731,18.4,pipe
195,ISLC150,14.412600785,150,75,7.8,4.8,,,,,697.2000122,103.19999695,72,117,92.9600016,20.1562499,93,20.2000008,,,,28.6821222,18.360001,channel
194,ISLB150,14.1928,150,80,6.8,4.8,,,,,688.2000122,55.20000076,72,90.66667,91.7600016,13.8000002,91.8000031,13.8000002,,,,21.7979574,18.08,I
192,ISB122X61X5.4,14.01225,122,61,5.4,5.4,,,,,320.8299866,107.02999878,131.76,65.88,52.5950806,35.0918034,52.5999985,35.0900002,,,,2720.2999878,17.85,box
193,ISB91.5X91.5X5.4,14.01225,91.5,91.5,5.4,5.4,,,,,215.67999268,215.67999268,98.82,98.82,47.1431698,47.1431698,47.1399994,47.1399994,,,,3556.700134,17.85,box
191,ISA80X80X12,13.980849215,80,80,12,12,,,,,101.90000153,101.90000153,96,96,18.2616493,18.2616493,18.2999992,18.2999992,,,,85.248003,17.809999,angle
190,ISJC200,13.94945,200,70,7.1,4.1,,,,,1161.1999512,84.19999695,82,99.4,116.1199951,16.7395621,116.0999985,16.7000008,,,,20.9710217,17.77,channel
189,ISA150X75X8,13.6747,150,75,8,8,,,,,407.2000122,70.19999695,120,60,30.2301419,13.4225615,41.7000008,11.8000002,,,,37.0346665,17.42,angle
188,ISNB110L,13.580499215,127,0,0,4.5,,,,,325.2999878,325.2999878,91.40393,91.40393,51.2283453,51.2283453,51.2000008,51.2000008,,,,6505.999756,17.299999,pipe
187,ISA90X90X10,13.368550785,90,90,10,10,,,,,126.69999695,126.69999695,90,90,19.7659899,19.7659899,19.7999992,19.7999992,,,,56.6666651,17.030001,angle
186,ISA110X110X8,13.3607,110,110,8,8,,,,,195,195,88,88,24.375,24.375,24.3999996,24.3999996,,,,36.1813331,17.02,angle
