id,sec,wt,h,b,s(tw),t(tf),r1,r2,b/2t,d/s,ix,iy,rx,ry,zx,zy,sx,sy,u,x,H,J,area
23,WPB 400x400x,219.66,375,394,17.3,27.7,27,,,,,,,,,,,,,,,,
24,WPB 850x300x,214.24,846,293,15.4,24.3,30,,,,,,,,,,,,,,,,
25,WPB 600x300x,211.92,600,300,15.5,30,27,,,,,,,,,,,,,,,,
26,WPB 700x300x,204.48,690,300,14.5,27,27,,,,,,,,,,,,,,,,
27,WPB 550x300x,199.44,550,300,15,29,27,,,,,,,,,,,,,,,,
28,WPB 900x300x,198,870,300,15,20,30,,,,,,,,,,,,,,,,
29,WPB 360x370x,197.65,372,374,16.4,25.8,27,,,,,,,,,,,,,,,,
30,WPB 850x300x,195.73,840,292,14.7,21.3,30,,,,,,,,,,,,,,,,
31,WPB 400x400x,191.1,368,391,15,24.2,27,,,,,,,,,,,,,,,,
32,WPB 650x300x,189.69,640,300,13.5,26,27,,,,,,,,,,,,,,,,
33,WPB 280x280x,188.53,310,288,18.5,33,24,,,,,,,,,,,,,,,,
34,WPB 500x300x,187.33,500,300,14.5,28,27,,,,,,,,,,,,,,,,
35,WPB 360x370x,182.01,368,373,15,23.8,27,,,,,,,,,,,,,,,,
36,WPB 850x300x,179.89,835,292,14,18.8,30,,,,,,,,,,,,,,,,
37,WPB 600x300x,177.77,590,300,13,25,27,,,,,,,,,,,,,,,,
38,WPB 260x260x,172.42,290,268,18,32.5,24,,,,,,,,,,,,,,,,
39,WPB 800x300x,171.51,770,300,14,18,30,,,,,,,,,,,,,,,,
40,WPB 450x300x,171.11,450,300,14,26,27,,,,,,,,,,,,,,,,
